codigo,univComp
020060106,66
020060107,55
020060108,60
020060109,45
020060110,35
020060111,60
020060112,59
020060201,114
020060202,103
020060203,60
020060204,61
020060205,71
020060206,110
020060207,75
020060208,110
020060209,82
020060210,89
020060211,166
020060301,80
020060302,80
020060303,82
020060304,73
020060305,60
020060306,76
020060307,91
020060308,80
020060309,116
020060310,99
020060401,41
020060402,68
020060403,96
020060404,81
020060405,78
020060406,82
020060407,52
020060408,115
020060409,81
020060410,102
020060411,107
020060501,77
020060502,120
020060503,104
020060504,78
020060505,124
020060506,85
020060507,87
020060508,60
020060509,78
020060510,91
020060511,139
020060512,28
020060601,132
020060602,320
020060603,143
020060604,62
020060605,65
020060606,102
020060607,94
020060608,112
020060609,112
020060701,83
020060702,110
020060703,74
020060704,98
020060705,85
020060706,75
020060707,121
020060708,77
020060709,114
020060710,101
020060711,81
020060712,86
020060713,85
020060801,101
020060802,142
020060803,84
020060804,83
020060805,86
020060806,149
020060807,98
020060808,174
020060809,62
020060810,114
020060901,74
020060902,91
020060903,92
020060904,177
020060905,32
020060906,133
020060907,66
020060908,76
020060909,148
020060910,102
020061001,74
020061002,50
020061003,113
020061004,80
020061005,151
020061006,127
020061007,87
020061008,181
020061009,82
020061010,155
020061101,112
020061102,54
020061103,97
020061104,118
020061105,64
020061106,94
020061107,85
020061108,98
020061109,66
020061110,58
020061201,65
020061202,55
020061203,52
020061204,43
020061205,111
020061206,66
020061207,98
020061208,103
020061209,102
020061210,79
020061211,84
020061212,48
020061301,89
020061302,170
020061303,107
020061304,165
020061305,123
020061306,73
020061307,135
020061308,161
020061309,146
020061401,149
020061402,82
020061403,124
020061404,154
020061405,142
020061406,174
020061407,81
020061408,85
020061409,118
020061410,139
020061501,102
020061502,218
020061503,116
020061504,112
020061505,108
020061506,120
020061507,98
020061508,105
020061509,66
020061510,133
020061601,75
020061602,122
020061603,132
020061604,105
020061605,127
020061606,156
020061607,139
020061608,216
020061609,130
020061610,157
020061611,115
020061701,113
020061702,123
020061703,86
020061704,120
020061705,211
020061706,109
020061707,84
020061801,93
020061802,79
020061803,88
020061804,136
020061805,135
020061806,179
020061807,175
020061808,147
020061809,120
020061901,145
020061902,238
020061903,201
020061904,135
020061905,93
020061906,164
020061907,128
020061908,114
020062001,67
020062002,70
020062003,137
020062004,84
020062005,132
020062006,139
020062007,72
020062008,176
020062009,116
020062010,110
020062101,75
020062102,147
020062103,143
020062104,60
020062105,118
020062106,66
020062107,97
020062108,139
020062109,91
020062110,88
020062111,100
020070101,34
020070102,38
020070103,35
020070104,32
020070105,11
020070106,27
020070107,26
020070108,43
020070109,33
020070110,65
020070201,57
020070202,82
020070203,55
020070204,101
020070205,47
020070206,50
020070207,41
020070208,52
020070209,70
020070301,51
020070302,91
020070303,92
020070304,91
020070305,73
020070306,68
020070307,124
020070308,63
020070309,53
020070310,110
020070401,69
020070402,45
020070403,144
020070404,133
020070405,86
020070406,156
020070407,151
020070408,150
020070409,40
020070410,112
020070501,117
020070502,78
020070503,81
020070504,116
020070505,147
020070506,65
020070507,64
020070508,56
020070509,99
020070601,92
020070602,52
020070603,39
020070604,47
020070605,63
020070606,64
020070607,92
020070608,41
020070609,78
020070701,40
020070702,29
020070703,81
020070704,48
020070705,52
020070706,70
020070707,34
020070708,41
020070709,53
020070710,103
020070711,55
020070801,64
020070802,66
020070803,47
020070804,62
020070805,62
020070806,60
020070807,85
020070808,62
020070901,65
020070902,71
020070903,43
020070904,74
020070905,48
020070906,66
020070907,55
020070908,70
020070909,40
020070910,49
020070911,31
020071001,79
020071002,41
020071003,57
020071004,78
020071005,67
020071006,88
020071007,91
020071008,121
020071009,72
020071010,105
020071101,65
020071102,120
020071103,87
020071104,103
020071105,77
020071106,87
020071107,155
020071108,139
020071109,120
020071110,74
020071201,110
020071202,41
020071203,54
020071204,76
020071205,62
020071206,71
020071207,42
020071208,25
020071209,47
020071301,61
020071302,71
020071303,111
020071304,69
020071305,115
020071306,86
020071307,42
020071308,30
020071309,39
020071310,67
020071311,75
020071312,42
020071313,46
020071314,54
020071315,40
020071401,44
020071402,50
020071403,44
020071404,45
020071405,54
020071406,62
020071407,47
020071408,58
020071409,28
020071410,41
020071411,44
020071412,60
020071413,30
020071501,11
020071502,25
020071503,33
020071504,25
020071505,25
020071506,27
020071507,21
020071508,18
020071509,20
020071510,13
020071511,17
020071601,50
020071602,37
020071603,52
020071604,32
020071605,35
020071606,52
020071607,30
020071608,22
020071609,31
020071701,6
020071702,2
020071703,8
020071704,3
020071705,3
020071706,8
020071707,13
020071708,2
020071709,9
020071710,5
020071711,3
020071801,3
020071802,1
020071803,2
020071804,7
020071805,4
020071806,4
020071807,6
020071808,5
020071809,7
020071810,7
020071811,3
020071901,7
020071902,11
020071903,5
020071904,8
020071905,4
020071906,10
020072001,66
020072002,36
020072003,51
020072004,22
020072005,33
020072006,37
020072007,29
020072008,37
020072009,22
020072010,16
020072011,25
020072012,12
020072013,26
020072101,92
020072102,124
020072103,110
020072104,56
020072105,74
020072106,126
020072107,53
020072108,25
020072109,62
020072110,89
020072111,49
020072112,69
020072201,62
020072202,112
020072203,93
020072204,103
020072205,85
020072206,80
020072207,60
020072208,63
020072209,53
020072210,52
020072211,74
020072212,41
020072213,69
020072301,65
020072302,112
020072303,96
020072304,69
020072305,57
020072306,48
020072307,58
020072308,52
020072309,54
020072401,57
020072402,52
020072403,49
020072404,54
020072405,52
020072406,54
020072407,47
020072408,28
020072409,44
020072410,34
020072411,41
020080101,3
020080102,7
020080103,1
020080104,2
020080105,3
020080106,7
020080107,0
020080108,7
020080109,8
020080110,5
020080111,2
020080112,7
020080201,10
020080202,1
020080203,4
020080204,5
020080205,4
020080206,7
020080207,13
020080208,9
020080209,11
020080210,13
020080301,14
020080302,11
020080303,6
020080304,15
020080305,26
020080306,8
020080307,8
020080308,2
020080309,5
020080310,2
020080401,13
020080402,10
020080403,12
020080404,14
020080405,26
020080406,20
020080407,12
020080408,18
020080409,25
020080410,18
020080411,18
020080501,19
020080502,14
020080503,21
020080504,15
020080505,7
020080506,11
020080507,14
020080508,14
020080509,24
020080510,29
020080511,20
020080601,21
020080602,31
020080603,15
020080604,14
020080605,17
020080606,11
020080607,13
020080608,21
020080609,15
020080610,14
020080611,18
020080701,9
020080702,10
